Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,100-0001-RMA             ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0070                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0071                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0097                 ,28.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0104                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0109                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0110                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0111                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,200-0113                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,210-0068                 ,28.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,210-0226                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,230-0014                 ,42.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,230-0176                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,230-0304                 ,84.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,230-0346                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,230-0396                 ,252.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,230-0418                 ,28.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,260-0005                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,270-0004                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,270-0036                 ,0.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,285-0010                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,285-0032                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,285-0033                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,285-0039                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,300-0059                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,300-0074                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,300-0129                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,300-0130                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,300-0133                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,360-0030                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,360-0031                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,360-0032                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,360-0033                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,423-0010                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,423-0011                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,425-0003                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0006                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0007                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0018                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0019                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0031                 ,21.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0032                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,800-0033                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,810-0003                 ,14.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,820-0001                 ,42.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,840-0001                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,880-0005                 ,7.00000
33077-0000,3/3/2021 12:00:00 AM,102-0001                 ,7.00000,915-0001                 ,7.00000

