Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32795-0000,12/15/2020 0:00,150-0012                 ,31,100-0001-URB             ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,150-0010                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0064                 ,9
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0068                 ,1
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0070                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0071                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0097                 ,124
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0104                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0109                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0110                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0111                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,200-0113                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,210-0068                 ,14
32795-0000,12/15/2020 0:00,150-0012                 ,31,210-0226                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0014                 ,186
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0176                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0300                 ,210
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0304                 ,372
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0346                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0388                 ,372
32795-0000,12/15/2020 0:00,150-0012                 ,31,230-0418                 ,124
32795-0000,12/15/2020 0:00,150-0012                 ,31,260-0005                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,260-0024                 ,2
32795-0000,12/15/2020 0:00,150-0012                 ,31,270-0004                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,270-0036                 ,1116
32795-0000,12/15/2020 0:00,150-0012                 ,31,285-0006                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,285-0010                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,285-0032                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,285-0033                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,300-0019                 ,3
32795-0000,12/15/2020 0:00,150-0012                 ,31,300-0059                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,300-0074                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,300-0129                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,300-0130                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,300-0133                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,360-0030                 ,0
32795-0000,12/15/2020 0:00,150-0012                 ,31,360-0031                 ,0
32795-0000,12/15/2020 0:00,150-0012                 ,31,423-0010                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,423-0011                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,425-0003                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,430-0004                 ,124
32795-0000,12/15/2020 0:00,150-0012                 ,31,500-0800                 ,1
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0006                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0007                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0018                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0019                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0025                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0031                 ,0
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0032                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,800-0033                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,810-0003                 ,62
32795-0000,12/15/2020 0:00,150-0012                 ,31,820-0001                 ,186
32795-0000,12/15/2020 0:00,150-0012                 ,31,840-0001                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,880-0005                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,915-0001                 ,31
32795-0000,12/15/2020 0:00,150-0012                 ,31,931-0013                 ,31
