Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32676-0000,11/19/2020 0:00,150-0012                 ,30,100-0001-URB             ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,150-0010                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0064                 ,16
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0070                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0071                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0097                 ,120
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0104                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0109                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0110                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0111                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,200-0113                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,210-0068                 ,0
32676-0000,11/19/2020 0:00,150-0012                 ,30,210-0226                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0014                 ,180
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0176                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0270                 ,32
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0300                 ,128
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0304                 ,360
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0346                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0388                 ,360
32676-0000,11/19/2020 0:00,150-0012                 ,30,230-0418                 ,120
32676-0000,11/19/2020 0:00,150-0012                 ,30,260-0005                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,260-0024                 ,3
32676-0000,11/19/2020 0:00,150-0012                 ,30,270-0004                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,270-0036                 ,1080
32676-0000,11/19/2020 0:00,150-0012                 ,30,285-0006                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,285-0010                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,285-0032                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,285-0033                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,300-0019                 ,3
32676-0000,11/19/2020 0:00,150-0012                 ,30,300-0059                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,300-0074                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,300-0129                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,300-0130                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,300-0133                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,360-0030                 ,0
32676-0000,11/19/2020 0:00,150-0012                 ,30,360-0031                 ,0
32676-0000,11/19/2020 0:00,150-0012                 ,30,423-0010                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,423-0011                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,425-0003                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,430-0004                 ,120
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0006                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0007                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0018                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0019                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0025                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0031                 ,0
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0032                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,800-0033                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,810-0003                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,810-0005                 ,60
32676-0000,11/19/2020 0:00,150-0012                 ,30,820-0001                 ,180
32676-0000,11/19/2020 0:00,150-0012                 ,30,840-0001                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,880-0005                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,915-0001                 ,30
32676-0000,11/19/2020 0:00,150-0012                 ,30,931-0013                 ,30
