Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,100-0001-RMA             ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0070                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0071                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0097                 ,48.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0104                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0109                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0110                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0111                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,200-0113                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,210-0068                 ,48.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,210-0226                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,230-0014                 ,72.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,230-0176                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,230-0304                 ,144.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,230-0346                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,230-0396                 ,432.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,230-0418                 ,48.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,260-0005                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,270-0004                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,270-0036                 ,0.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,285-0010                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,285-0032                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,285-0033                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,285-0039                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,300-0059                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,300-0074                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,300-0129                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,300-0130                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,300-0133                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,360-0030                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,360-0031                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,360-0032                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,360-0033                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,423-0010                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,423-0011                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,425-0003                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0006                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0007                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0018                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0019                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0031                 ,36.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0032                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,800-0033                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,810-0003                 ,24.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,820-0001                 ,72.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,840-0001                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,880-0005                 ,12.00000
33162-0000,3/29/2021 12:00:00 AM,102-0001                 ,12.00000,915-0001                 ,12.00000

